Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Motherboards;ASUS;193;ASUS PRIME H310M-R (USADO) ;;;19.392,37;10,50%;30,00%;40,00%;0,00;SI;30.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;191;ASUS PRIME Z490-P (USADO) ;;;96.961,86;10,50%;30,00%;40,00%;0,00;SI;150.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;ASUS;189;ASUS TUF B450M PLUS ;;;97,21;10,50%;30,00%;25,00%;0,00;SI;134,27;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Notebook;ASUS;235;NOTEBOOK X515 I5 11°GEN/ 8GB RAM/SSD 256GB/ 15,6'' (USADA) ;;;323.206,00;10,50%;30,00%;40,00%;0,00;SI;499.999,68;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ASUS;215;NVIDIA ASUS RTX 2060 DUAL 6GB GDDR6 (USADO) ;;;124.434,39;10,50%;30,00%;60,00%;0,00;SI;220.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Aureox;255;FUENTE AUREOUX 600W POWER SERIES ;;;20.000,00;21,00%;30,00%;0,00%;33.057,85;SI;40.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;254;BIOSTAR A320M-K ;;;50.000,00;10,50%;30,00%;40,00%;54.298,64;SI;60.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Motherboards;Biostar;261;BIOSTAR H510MHP 2.0 M-ATX ;;;63,19;10,50%;30,00%;25,00%;0,00;SI;87,28;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;BRB;137;GABINETE GENÉRICO BRB (USADO) ;;;12.928,25;10,50%;30,00%;40,00%;0,00;SI;20.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Cooler Master;270;CPU COOLER COOLER MASTER HYPER 620S ;;;49,67;21,00%;30,00%;30,00%;0,00;SI;78,13;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;CoolerMaster;119;CPU COOLER COOLERMASTER HYPER H410R RGB (USADO) ;;;16.160,31;10,50%;30,00%;40,00%;0,00;SI;25.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;CoolerMaster;140;GABINETE Q300L V2 ;;;58,38;10,50%;30,00%;30,00%;0,00;SI;83,86;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Corsair;118;WATERCOOLER CORSAIR H45 (AM4) (USADO) ;;;32.320,62;21,00%;30,00%;25,00%;0,00;SI;48.884,94;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Corsair;117;WATERCOOLER CORSAIR ICUE H115i RGB PRO XT (AM4) ;;;138,85;21,00%;30,00%;25,00%;0,00;SI;210,01;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Cromax;139;GABINETE GENÉRICO CROMAX (USADO) SIN TAPA LATERAL ;;;9.696,19;10,50%;30,00%;40,00%;0,00;SI;15.000,01;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;EVGA;217;NVIDIA EVGA RTX 2060 OK ULTRA 6GB GDDR6 (USADO) ;;;142.210,73;10,50%;30,00%;40,00%;0,00;SI;220.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;EVGA;251;NVIDIA EVGA RTX 3070 TI XC3 8GB GDDR6 (USADO) ;;;300.000,00;10,50%;30,00%;40,00%;0,00;SI;464.100,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;Gamemax;128;GABINETE GAMEMAX NOVA N6 ;;;37,36;10,50%;30,00%;30,00%;0,00;SI;53,67;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Gamemax;115;KIT FAN X 3 GAMEMAX RQ300 ;;;27,91;10,50%;30,00%;25,00%;0,00;SI;38,54;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Gamemax;114;WATERCOOLER GAMEMAX ICEBERG 120 RAINBOW ;;;51,77;21,00%;30,00%;25,00%;0,00;SI;78,30;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
coolers;Gamemax;116;WATERCOOLER GAMEMAX ICECHILL 360ARGB ;;;96,60;21,00%;30,00%;25,00%;0,00;SI;146,11;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;278;FUENTE GIGABYTE GP550 550W 80+ SILVER ;;;36,37;21,00%;30,00%;0,00%;0,00;SI;57,21;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;274;FUENTE GIGABYTE GP550 550W 80+ SILVER ICE ;;;36,63;21,00%;30,00%;30,00%;0,00;SI;57,62;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;126;FUENTE GIGABYTE P1000GM 1000W 80+ GOLD MODULAR ;;;87,83;21,00%;30,00%;100,00%;0,00;SI;212,55;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;277;FUENTE GIGABYTE P450B 80+ BRONZE ;;;31,22;21,00%;30,00%;30,00%;0,00;SI;49,10;u$s;4,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;240;FUENTE GIGABYTE P550B 550W 80+ BRONZE ;;;48,35;21,00%;30,00%;30,00%;0,00;SI;76,05;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;121;FUENTE GIGABYTE P650B 650W 80+ BRONZE ;;;51,38;21,00%;30,00%;30,00%;0,00;SI;80,82;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;120;FUENTE GIGABYTE P750GM 750W MODULAR 80+ GOLD (USADO) ;;;30.165,91;21,00%;30,00%;300,00%;0,00;SI;146.003,00;$;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Gigabyte;258;FUENTE GIGABYTE P850GM 850W GOLD MODULAR (USADO SIN CAJA) ;;;42.857,14;21,00%;30,00%;0,00%;82.644,63;SI;100.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
