Categoría;Marca;ID;Producto;Código Interno;Código Barras;Precio Compra;Alicuota IVA;Margen Categoría;Margen Producto;Precio Fijo;Precio Único;Precio Final;Moneda;Stock;Ubicación;Descripción;Proveedor;Imágenes;Oferta;Redondeo;Alto (Cm);Ancho (Cm);Profundidad (Cm);Peso (Kg);Garantia
Gabinetes;Performance;131;GABINETE KIT PERFORMANCE CON FUENTE/TECLADO/MOUSE ;;;40.440,87;10,50%;30,00%;30,00%;0,00;SI;58.093,31;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Monitor;Philips;279;MONITOR PHILIPS 24'' HDMI/VGA 241V8L/77 ;;;129,71;21,00%;30,00%;30,00%;0,00;SI;204,04;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;PNY;213;NVIDIA PNY GTX 1660 SUPER XLR8 GAMING 6GB GDDR6 ;;;156,59;10,50%;30,00%;25,00%;0,00;SI;216,29;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;PNY;220;NVIDIA PNY RTX 2060 SUPER XLR8 GAMING 8GB GDDR6 (USADO) ;;;155.138,98;10,50%;30,00%;40,00%;0,00;SI;240.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;PNY;231;NVIDIA PNY RTX 3080 TI XLR8 GAMING 12GB GDDR6X (USADO) ;;;361.990,95;10,50%;30,00%;40,00%;0,00;SI;560.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;PowerColor;208;NVIDIA POWERCOLOR GT 730K 4GB GDDR3 (USADO SIN CAJA) ;;;22.624,00;10,50%;30,00%;40,00%;0,00;SI;35.000,00;$;1,00;;;;;0,00;1.000,00;0,00;0,00;0,00;0,00;-
Placas de video;PowerColor;204;RADEON POWERCOLOR RX 6600 XT FIGHTER 8GB GDDR6 (USADO) ;;;152.714,93;10,50%;30,00%;60,00%;0,00;SI;270.000,00;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Redragon;127;FUENTE  REDRAGON RGPS 500W 80+ BRONZE (USADO) ;;;29.515,94;21,00%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;Redragon;123;FUENTE REDRAGON RGPS-800W 80+ BRONZE MODULAR (USADO) ;;;21.116,14;21,00%;30,00%;25,00%;0,00;SI;31.938,16;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ROG STRIX;232;NVIDIA ROG STRIX RTX 3080 TI LC 12GB GDDR6X CON REFR. LÍQUIDA (USADO) ;;;350.000,00;10,50%;30,00%;70,00%;0,00;SI;657.475,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ROG STRIX;199;RADEON ROG STRIX RX 570 8GB GDDR5 (USADO) ;;;73.529,41;10,50%;30,00%;60,00%;0,00;SI;130.000,00;$;5,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ROG STRIX;207;RADEON ROG STRIX RX 5700 XT 8GB GDDR6 (USADO SIN CAJA) ;;;135.746,61;10,50%;30,00%;60,00%;0,00;SI;240.000,01;$;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;ROG STRIX;200;RADEON ROG STRIX RX 580 8GB GDDR5 (USADO) ;;;84.841,63;10,50%;30,00%;60,00%;0,00;SI;150.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Consola;SONY;233;SONY PLAYSTATION 4 FAT 500GB/ 1 JOYSTICK + 1 JUEGO (USADA SIN CAJA) ;;;174.531,35;21,00%;0,00%;40,00%;0,00;SI;295.656,11;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Consola;SONY;234;SONY PLAYSTATION 4 SLIM 1TB/ 1 JOYSTICK + 8 JUEGOS (USADA CON CAJA) ;;;226.244,34;21,00%;0,00%;40,00%;0,00;SI;383.257,91;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;SYX;133;GABINETE EQS11 ;;;45,60;10,50%;30,00%;30,00%;0,00;SI;65,50;u$s;3,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;SYX;134;GABINETE EZQ3 ;;;42,09;10,50%;30,00%;30,00%;0,00;SI;60,46;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;TP-LINK;141;Adaptador TP-LINK USB a ETH RJ45 UE200 ;;;12,00;10,50%;30,00%;25,00%;0,00;SI;16,58;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
General;TP-LINK;147;Extensor de rango TP-LINK RE200 Doble banda (USADO) ;;;9.696,19;10,50%;30,00%;40,00%;0,00;SI;15.000,01;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Discos Internos SSD;Western Digital;263;SSD WESTERN DIGITAL GREEN SN350 M.2 NVME 500GB ;;;35,70;10,50%;30,00%;30,00%;0,00;SI;51,28;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Placas de video;XFX;194;RADEON XFX HD 6670 1GB GDDR5 (USADO) ;;;32.320,62;10,50%;30,00%;40,00%;0,00;SI;50.000,00;$;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;XPG;266;FUENTE ADATA XPG PYLON 550W BRONZE ;;;48,96;21,00%;30,00%;30,00%;0,00;SI;77,02;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;XPG;267;FUENTE ADATA XPG PYLON 650W BRONZE ;;;54,48;21,00%;30,00%;30,00%;0,00;SI;85,70;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Fuentes;XPG;268;FUENTE ADATA XPG PYLON 750W BRONZE ;;;62,06;21,00%;30,00%;30,00%;0,00;SI;97,63;u$s;2,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-
Gabinetes;XPG;264;GABINETE ADATA XPG VALOR AIR PLUS NEGRO FANS ARGBX4 ;;;63,35;10,50%;30,00%;30,00%;0,00;SI;91,01;u$s;1,00;;;;;0,00;0,00;0,00;0,00;0,00;0,00;-

