"Codigo","Descripcion","lista3","Tipo","IVA","ROS","MZA","CBA","LUG","Grupo","Rubro","Part Number" 
"3111","CINTA P/ROTU BROTHER TZE241 18MM NEGRO/BLANCO","28.79","A","21","1","0","1","5","20","001-0260","TZE241"
"3112","CINTA P/ROTU BROTHER TZE251 24MM NEGRO/BLANCO","33.42","A","21","5","2","4","0","20","001-0260","TZE251"
"20442","CINTA P/ROTU BROTHER TZE261 36MM NEGRO/BLANCO","44.13","A","21","0","0","0","50","20","001-0260","TZE261"
"33659","CINTA P/ROTU BROTHER TZE345 18MM BLANCO/NEGRO","33.42","A","21","5","2","4","16","20","001-0260","TZE345"
"48066","CINTA P/ROTU BROTHER TZE541 8MM NEGRO/AZUL","28.79","A","21","0","0","0","1","20","001-0260","TZE541"
"33625","CINTA P/ROTU BROTHER TZE631 12MM NEGRO/AMARILLO","24.57","A","21","8","2","4","14","20","001-0260","TZE631"
"20134","CINTA P/ROTU BROTHER TZEFX231 12MM FLEX NEG/BLA","26.74","A","21","11","2","5","16","20","001-0260","TZEFX231"
"28521","CINTA P/ROTU BROTHER TZEMPG31 12MM GEOMETRICO","14.05","A","21","8","2","3","57","20","001-0260","TZEMPGG31"
"28526","CINTA P/ROTU BROTHER TZEMQ835 12MM BLANCO/DORADO","16.22","A","21","1","6","6","1","20","001-0260","TZEMQ835"
"25480","CINTA P/ROTU BROTHER TZEMQG35 12MM BLANCO/VERDE","16.22","A","21","8","2","3","62","20","001-0260","TZEMQG35"
"25492","CINTA P/ROTU BROTHER TZEMQP35 12MM BLANCO/FUCSIA","16.22","A","21","8","2","3","60","20","001-0260","TZEMQP35"
"20133","CINTA P/ROTU BROTHER TZES231 12MM ADHE EXT NEG/BLA","22.18","A","21","5","2","3","16","20","001-0260","TZES231"
"30924","CINTA P/ROTU BROTHER TZESE4 18MM VOID NEGRO/BLANCO","50.82","A","21","2","0","3","13","20","001-0260","TZESE4"
"19004","CINTA P/ROTU TERMOC BROTHER 11.7MM BLANCO/NEGRO","47.77","A","21","0","0","0","18","20","001-0260","HSE231"
"19003","CINTA P/ROTU TERMOC BROTHER 8.8MM BLANCO/NEGRO","41.87","A","21","0","0","0","16","20","001-0260","HSE221"
"50583","CINTO BROTHER PORTA P-TOUCH","1.21","A","10.5","1","0","0","1","1","001-0010",""
"1091","CITIZEN PRINTIVA ROJO","10.75","A","10.5","6","0","0","0","1","001-0254","047239120123"
"2707","CLARO SIM 64K HLR0","0","A","10.5","29","0","14","18","0","",""
"4667","COMPITT LUBE SECO 120GR LUBRICANTE P/IMPRESORAS","0.1","A","21","0","0","0","0","12","001-0557","000CLS"
"4669","COMPITT OR 450GR/440CC C/GATILLO","0.46","A","21","0","0","0","0","12","001-0557","ORGA450"
"14190","CONEC FIBRA PROCLICK 62M1 OM2 HUBBEL X12 UNIDADES","62.56","A","21","0","1","1","2","255","001-0055","FCLC900K62M12"
"14191","CONECTOR FIBRA PROCLICK 50GM HUBBEL X 12 UNIDADES","62.56","A","21","0","1","1","2","255","001-0055","FCLC900K50M12"
"14196","CONECTOR FIBRA SC MULTIMODO 2 QUICK HUBBELL X 12","51.82","A","21","0","0","1","2","255","001-0055","FCSCMQ12R"
"40614","CONECTOR USB+AUDIO+MIC P/GABINETE","2.5","A","10.5","-14","176","76","0","1","001-0030",""
"213807","CONSOLA RETRO GAMING 4K 64GB + 2 JOYSTICK","36.28","A","21","0","94","73","462","0","001-0248","X2 GAME CONSOLE"
"15206","CONTACFLUX GEL DELTA","0.03","A","21","0","0","0","1","124","003-0367","FLUX-GEL"
"35230","CONTACTO AUXILIAR Schneider FRONTAL 1NA+1NC","42.33","A","21","1","0","0","0","561","001-0010","GVAE11"
"32812","CONTRO ADAPTEC 29160LP KIT","35.09","A","10.5","1","0","0","0","1","001-0100",""
"34923","CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB","16.44","A","10.5","65","0","12","215","88","001-1259","TSGV-IR01"
"28848","CONTROL REMOTO CX MULTIMEDIA CENTER PC/NB USB/EXPO","11.4","A","10.5","4","0","0","0","88","001-1259","TSGV-IR01"
"53923","CONTROL REMOTO SMART GRALF WIFI","18.15","A","10.5","2","0","1","10","212","001-0212","GF-SMIR"
"213382","CONTROL UNIVERSAL NEXXT SMART IR+RF NHA-I610","20.63","A","21","4","0","4","34","781","001-0212","NHA-I610"
"51956","CONTROLADOR ACCESO TENDA M3 GIGABIT","28.98","A","10.5","0","0","0","5","774","001-0430","M3"
"35863","CONTROLADOR ACCESO TP-LINK CLOUD OMADA OC200","76.27","A","21","10","6","7","17","140","001-0430","OC200"
"HPE500","CONTROLADORA HPE MR416i-a Gen10+","1014.03","A","10.5","0","0","0","0","605","001-0101","P26279-B21"
"HPE041","CONTROLADORA HPE Smart Array E208e-p SR Gen10","723.17","A","10.5","0","0","0","4","605","001-0101","804398-B21"
